学号,姓名,语文,数学,英语,物理,化学,生物
20242522,学生2522,59,50,92,82,52,93
20242523,学生2523,79,73,79,53,86,66
20242524,学生2524,89,70,89,47,84,59
20242525,学生2525,98,78,97,57,49,73
20242526,学生2526,84,79,41,80,86,68
20242527,学生2527,57,100,70,67,42,99
20242528,学生2528,95,46,66,64,90,86
20242529,学生2529,73,91,71,70,95,75
20242530,学生2530,71,83,69,94,46,48
20242531,学生2531,46,98,56,44,60,59
20242532,学生2532,98,41,97,99,46,91
20242533,学生2533,98,59,43,84,54,67
20242534,学生2534,77,80,79,91,69,58
20242535,学生2535,85,61,60,42,64,61
20242536,学生2536,49,91,81,63,93,63
20242537,学生2537,100,85,84,43,98,63
20242538,学生2538,48,75,83,90,83,77
20242539,学生2539,90,68,65,83,95,43
20242540,学生2540,50,96,100,95,50,47
20242541,学生2541,54,97,52,45,71,58
20242542,学生2542,73,59,75,73,53,95
20242543,学生2543,73,42,82,60,80,47
20242544,学生2544,61,79,100,70,63,100
20242545,学生2545,60,61,86,76,72,43
20242546,学生2546,71,58,76,64,47,65
20242547,学生2547,43,61,48,67,51,53
20242548,学生2548,46,74,60,88,94,43
20242549,学生2549,89,60,80,43,44,76
20242550,学生2550,57,61,57,78,56,54
20242551,学生2551,40,42,96,78,64,48
20242552,学生2552,62,66,41,71,93,59
20242553,学生2553,100,58,72,59,75,57
20242554,学生2554,79,68,81,75,92,73
20242555,学生2555,98,72,75,92,100,69
20242556,学生2556,80,55,70,64,87,78
20242557,学生2557,52,73,90,80,60,45
20242558,学生2558,93,84,64,43,45,100
20242559,学生2559,74,99,45,53,77,46
20242560,学生2560,85,89,73,79,70,57
20242561,学生2561,73,94,62,93,62,74
20242562,学生2562,42,63,46,96,62,44
20242563,学生2563,96,70,98,87,94,44
20242564,学生2564,86,97,100,74,81,92
20242565,学生2565,71,95,90,50,93,42
20242566,学生2566,48,100,48,69,52,66
20242567,学生2567,48,98,98,41,62,58
20242568,学生2568,48,78,79,81,93,80
20242569,学生2569,71,55,70,92,40,90
20242570,学生2570,74,83,83,71,91,54
20242571,学生2571,87,82,60,88,71,60
20242572,学生2572,95,59,60,72,72,41
20242573,学生2573,48,91,97,50,71,50
20242574,学生2574,94,65,44,63,77,41
20242575,学生2575,86,56,56,70,55,41
20242576,学生2576,98,84,54,93,70,64
20242577,学生2577,45,65,40,82,46,68
20242578,学生2578,94,47,46,45,61,85
20242579,学生2579,51,89,84,52,59,69
20242580,学生2580,99,90,98,61,70,98
20242581,学生2581,84,86,58,44,75,62
20242582,学生2582,82,84,56,78,75,99
20242583,学生2583,62,83,40,56,82,98
20242584,学生2584,58,52,66,91,84,86
20242585,学生2585,70,79,94,100,45,53
20242586,学生2586,72,71,44,74,79,49
20242587,学生2587,85,76,46,58,84,66
20242588,学生2588,92,87,58,96,93,71
20242589,学生2589,96,69,93,94,74,74
20242590,学生2590,58,45,41,54,45,60
20242591,学生2591,65,66,51,45,58,57
20242592,学生2592,75,79,60,64,71,74
20242593,学生2593,76,96,56,57,91,74
20242594,学生2594,83,84,100,100,74,81
20242595,学生2595,56,77,41,49,97,45
20242596,学生2596,85,52,61,52,62,47
20242597,学生2597,84,94,96,40,95,70
20242598,学生2598,98,58,98,43,74,43
20242599,学生2599,67,60,82,47,90,47
20242600,学生2600,100,58,63,77,82,99
20242601,学生2601,97,100,60,57,55,52
20242602,学生2602,79,55,92,99,59,52
20242603,学生2603,50,67,100,85,42,41
20242604,学生2604,66,76,61,63,49,57
20242605,学生2605,53,65,47,77,88,79
20242606,学生2606,42,48,97,90,42,61
20242607,学生2607,53,42,73,85,51,93
20242608,学生2608,69,77,45,41,73,94
20242609,学生2609,89,60,71,52,89,58
20242610,学生2610,81,99,52,100,60,96
20242611,学生2611,52,46,56,67,54,63
20242612,学生2612,76,60,89,93,68,55
20242613,学生2613,47,81,66,69,93,57
20242614,学生2614,63,43,42,42,48,99
20242615,学生2615,53,70,57,58,94,57
20242616,学生2616,40,62,61,74,67,49
20242617,学生2617,64,91,45,98,69,54
20242618,学生2618,87,45,95,52,44,50
20242619,学生2619,80,92,50,54,73,45
20242620,学生2620,44,72,53,76,42,97
20242621,学生2621,46,50,77,66,58,52
20242622,学生2622,56,89,66,93,99,68
20242623,学生2623,52,96,61,62,47,84
20242624,学生2624,41,74,88,46,79,96
20242625,学生2625,100,68,45,56,48,92
20242626,学生2626,73,96,99,66,74,63
20242627,学生2627,58,44,59,93,47,72
20242628,学生2628,66,95,83,91,94,84
20242629,学生2629,50,100,80,77,87,51
20242630,学生2630,75,72,96,65,79,41
20242631,学生2631,95,74,55,52,99,71
20242632,学生2632,60,59,40,89,50,87
20242633,学生2633,97,83,57,94,63,95
20242634,学生2634,59,49,74,100,55,87
20242635,学生2635,58,79,62,63,40,79
20242636,学生2636,72,95,44,44,66,90
20242637,学生2637,47,67,41,53,78,58
20242638,学生2638,40,60,100,42,56,84
20242639,学生2639,77,97,47,40,50,40
20242640,学生2640,52,51,79,65,59,43
20242641,学生2641,65,73,41,66,68,90
20242642,学生2642,69,78,62,68,98,86
20242643,学生2643,63,71,91,98,67,68
20242644,学生2644,83,80,76,90,69,44
20242645,学生2645,78,71,70,93,96,59
20242646,学生2646,79,53,44,86,54,64
20242647,学生2647,55,87,43,99,40,95
20242648,学生2648,47,99,51,99,74,74
20242649,学生2649,75,88,99,91,67,75
20242650,学生2650,76,67,51,88,46,82
20242651,学生2651,74,66,83,54,90,92
20242652,学生2652,59,77,53,82,50,41
20242653,学生2653,98,69,73,87,51,45
20242654,学生2654,86,81,82,93,82,91
20242655,学生2655,73,43,53,50,85,78
20242656,学生2656,66,82,44,61,56,48
20242657,学生2657,85,77,73,42,87,69
20242658,学生2658,56,54,69,64,95,84
20242659,学生2659,67,87,91,99,78,54
20242660,学生2660,43,63,59,94,86,70
20242661,学生2661,50,55,93,95,54,98
20242662,学生2662,80,96,52,43,96,98
20242663,学生2663,42,89,41,72,87,99
20242664,学生2664,71,77,55,97,76,45
20242665,学生2665,42,57,47,49,93,82
20242666,学生2666,77,74,40,80,74,95
20242667,学生2667,98,82,74,73,93,76
20242668,学生2668,54,78,40,71,63,59
20242669,学生2669,65,90,70,51,56,77
20242670,学生2670,90,66,67,78,99,86
20242671,学生2671,63,82,69,81,54,52
20242672,学生2672,74,70,87,61,44,87
20242673,学生2673,85,74,99,61,54,52
20242674,学生2674,94,53,95,42,70,53
20242675,学生2675,40,60,43,73,41,57
20242676,学生2676,80,94,61,96,68,91
20242677,学生2677,74,44,66,87,63,59
20242678,学生2678,77,97,64,75,79,78
20242679,学生2679,83,93,60,93,69,68
20242680,学生2680,93,80,81,49,45,67
20242681,学生2681,55,90,100,70,63,72
20242682,学生2682,45,75,81,40,75,98
20242683,学生2683,59,52,97,44,87,98
20242684,学生2684,75,87,87,78,99,72
20242685,学生2685,43,85,63,55,63,54
20242686,学生2686,51,93,80,98,52,74
20242687,学生2687,97,85,75,82,96,81
20242688,学生2688,44,57,99,92,77,76
20242689,学生2689,91,74,71,47,48,72
20242690,学生2690,49,78,94,66,64,66
20242691,学生2691,77,48,60,43,91,42
20242692,学生2692,55,65,77,55,99,67
20242693,学生2693,91,98,63,69,98,50
20242694,学生2694,96,48,70,65,80,41
20242695,学生2695,53,84,84,78,62,48
20242696,学生2696,45,82,45,62,78,46
20242697,学生2697,46,49,50,70,50,100
20242698,学生2698,73,69,93,65,45,96
20242699,学生2699,61,74,94,98,76,86
20242700,学生2700,87,100,45,65,57,95
20242701,学生2701,99,66,78,79,89,67
20242702,学生2702,65,79,83,50,86,45
20242703,学生2703,70,77,43,98,63,55
20242704,学生2704,74,42,98,63,95,42
20242705,学生2705,48,97,67,82,89,79
20242706,学生2706,72,79,65,48,70,95
20242707,学生2707,77,67,63,92,62,45
20242708,学生2708,50,69,74,83,92,41
20242709,学生2709,54,68,58,62,41,68
20242710,学生2710,90,95,79,66,50,56
20242711,学生2711,93,95,54,96,81,85
20242712,学生2712,57,89,92,60,63,69
20242713,学生2713,75,62,86,81,49,42
20242714,学生2714,42,42,93,76,51,75
20242715,学生2715,52,79,57,69,70,64
20242716,学生2716,41,62,55,55,97,46
20242717,学生2717,99,40,65,41,69,84
20242718,学生2718,98,70,86,69,73,55
20242719,学生2719,51,53,97,98,63,72
20242720,学生2720,74,96,74,48,64,63
20242721,学生2721,79,60,57,86,82,71
20242722,学生2722,50,50,59,40,71,66
20242723,学生2723,84,86,84,92,64,43
20242724,学生2724,60,53,40,75,95,53
20242725,学生2725,70,70,46,43,61,97
20242726,学生2726,87,45,63,80,84,46
20242727,学生2727,99,42,76,85,91,95
20242728,学生2728,49,77,64,57,79,83
20242729,学生2729,99,86,82,73,46,98
20242730,学生2730,42,89,40,99,59,40
20242731,学生2731,40,90,40,83,44,90
20242732,学生2732,54,89,49,40,72,87
20242733,学生2733,59,70,67,42,76,87
20242734,学生2734,91,58,55,81,99,88
20242735,学生2735,51,88,73,45,52,57
20242736,学生2736,77,59,100,41,99,70
20242737,学生2737,96,83,95,58,68,56
20242738,学生2738,64,73,43,69,67,81
20242739,学生2739,82,48,44,63,54,89
20242740,学生2740,62,92,50,67,48,85
20242741,学生2741,100,46,95,51,61,93
20242742,学生2742,77,98,63,64,87,73
20242743,学生2743,82,100,84,61,93,77
20242744,学生2744,83,88,56,67,92,71
20242745,学生2745,72,68,50,66,47,77
20242746,学生2746,51,45,76,84,63,78
20242747,学生2747,94,70,63,57,62,89
20242748,学生2748,84,75,63,83,56,44
20242749,学生2749,42,85,95,58,86,44
20242750,学生2750,42,85,85,75,84,76
20242751,学生2751,49,85,70,73,42,48
20242752,学生2752,55,90,56,84,77,64
20242753,学生2753,63,50,81,98,56,51
20242754,学生2754,97,58,62,58,80,87
20242755,学生2755,89,77,45,50,48,53
20242756,学生2756,48,83,97,55,69,58
20242757,学生2757,59,52,68,99,59,93
20242758,学生2758,64,54,76,46,96,96
20242759,学生2759,62,78,87,97,74,92
20242760,学生2760,79,62,45,61,86,97
20242761,学生2761,71,86,74,96,50,54
20242762,学生2762,83,83,89,46,84,81
20242763,学生2763,66,74,87,67,78,88
20242764,学生2764,80,63,83,81,77,50
20242765,学生2765,43,63,50,52,49,99
20242766,学生2766,74,81,61,72,44,50
20242767,学生2767,82,61,100,40,53,59
20242768,学生2768,45,86,48,91,63,72
20242769,学生2769,76,49,62,42,89,77
20242770,学生2770,67,57,90,94,45,52
20242771,学生2771,58,92,68,71,67,46
20242772,学生2772,95,86,55,43,68,98
20242773,学生2773,86,67,66,58,79,70
20242774,学生2774,57,67,74,66,64,100
20242775,学生2775,66,78,60,41,79,100
20242776,学生2776,79,65,45,97,58,51
20242777,学生2777,58,69,43,94,95,84
20242778,学生2778,66,86,73,88,47,93
20242779,学生2779,51,41,75,87,87,91
20242780,学生2780,93,88,77,60,80,41
20242781,学生2781,54,40,66,74,56,96
20242782,学生2782,65,93,69,97,68,64
20242783,学生2783,46,57,86,41,93,46
20242784,学生2784,92,58,42,99,82,98
20242785,学生2785,40,84,67,55,92,85
20242786,学生2786,59,47,56,84,43,68
20242787,学生2787,55,76,79,93,82,42
20242788,学生2788,68,98,61,83,87,76
20242789,学生2789,46,59,83,98,85,100
20242790,学生2790,85,100,53,64,60,49
20242791,学生2791,58,52,42,72,78,57
20242792,学生2792,47,99,86,88,75,74
20242793,学生2793,69,71,88,85,91,59
20242794,学生2794,100,97,56,44,95,84
20242795,学生2795,54,51,56,44,43,87
20242796,学生2796,81,94,82,46,54,89
20242797,学生2797,44,52,64,73,81,80
20242798,学生2798,92,92,40,65,62,78
20242799,学生2799,65,75,73,90,40,83
20242800,学生2800,53,74,70,47,63,78
20242801,学生2801,44,70,68,61,41,41
20242802,学生2802,62,98,82,97,95,79
20242803,学生2803,56,53,77,98,93,71
20242804,学生2804,47,82,92,63,64,42
20242805,学生2805,96,40,74,73,47,68
20242806,学生2806,91,46,71,91,66,89
20242807,学生2807,95,66,91,95,99,51
20242808,学生2808,77,98,90,61,53,72
20242809,学生2809,71,59,64,72,99,93
20242810,学生2810,42,84,70,54,72,96
20242811,学生2811,64,47,73,99,89,89
20242812,学生2812,78,95,97,46,61,53
20242813,学生2813,67,94,78,80,45,88
20242814,学生2814,100,90,100,94,99,77
20242815,学生2815,81,55,55,92,99,55
20242816,学生2816,65,79,81,42,58,100
20242817,学生2817,85,79,85,90,88,74
20242818,学生2818,85,56,42,40,73,62
20242819,学生2819,65,57,92,52,40,57
20242820,学生2820,100,54,59,70,61,81
20242821,学生2821,81,60,89,92,71,83
20242822,学生2822,65,55,52,73,74,63
20242823,学生2823,40,94,75,75,58,40
20242824,学生2824,83,62,64,86,61,67
20242825,学生2825,48,54,48,99,44,66
20242826,学生2826,90,92,87,53,52,85
20242827,学生2827,65,52,57,82,92,67
20242828,学生2828,40,42,52,78,69,57
20242829,学生2829,46,40,40,58,42,89
20242830,学生2830,82,52,47,76,67,76
20242831,学生2831,96,77,82,80,46,90
20242832,学生2832,48,80,74,85,93,72
20242833,学生2833,99,81,71,73,87,40
20242834,学生2834,80,92,44,85,57,80
20242835,学生2835,85,63,58,49,60,67
20242836,学生2836,48,59,61,52,49,78
20242837,学生2837,70,77,46,95,77,84
20242838,学生2838,65,69,61,98,42,61
20242839,学生2839,91,98,42,59,61,99
20242840,学生2840,63,97,95,55,76,58
20242841,学生2841,78,40,89,63,66,92
20242842,学生2842,75,70,100,45,44,51
20242843,学生2843,57,49,89,100,55,70
20242844,学生2844,44,43,89,100,92,46
20242845,学生2845,54,59,40,97,98,46
20242846,学生2846,54,61,48,55,88,81
20242847,学生2847,43,100,89,71,79,86
20242848,学生2848,80,51,59,85,78,75
20242849,学生2849,73,69,56,84,87,79
20242850,学生2850,57,62,67,61,58,71
20242851,学生2851,41,85,75,90,69,50
20242852,学生2852,58,62,80,83,59,48
20242853,学生2853,79,90,53,59,92,98
20242854,学生2854,73,96,95,62,51,47
20242855,学生2855,83,77,93,66,66,67
20242856,学生2856,97,92,83,64,71,90
20242857,学生2857,86,49,40,47,91,93
20242858,学生2858,84,55,66,54,64,69
20242859,学生2859,82,86,51,100,89,54
20242860,学生2860,62,80,69,49,90,77
20242861,学生2861,76,52,69,81,79,68
20242862,学生2862,50,89,97,42,94,40
20242863,学生2863,95,58,60,64,70,83
20242864,学生2864,74,72,87,97,43,91
20242865,学生2865,78,85,44,41,57,76
20242866,学生2866,68,77,63,98,63,93
20242867,学生2867,41,50,92,63,79,49
20242868,学生2868,78,68,44,77,92,42
20242869,学生2869,79,70,48,95,71,44
20242870,学生2870,79,64,47,63,69,46
20242871,学生2871,53,65,62,61,89,86
20242872,学生2872,94,67,80,88,81,74
20242873,学生2873,67,89,58,100,82,69
20242874,学生2874,83,74,51,61,93,48
20242875,学生2875,44,46,83,85,71,65
20242876,学生2876,48,76,44,66,76,94
20242877,学生2877,42,51,89,75,73,48
20242878,学生2878,96,73,85,77,91,46
20242879,学生2879,91,72,86,43,43,58
20242880,学生2880,98,76,66,99,66,54
20242881,学生2881,61,50,47,86,81,86
20242882,学生2882,87,81,52,74,90,61
20242883,学生2883,48,55,70,81,77,49
20242884,学生2884,52,45,64,76,92,72
20242885,学生2885,44,68,59,82,43,78
20242886,学生2886,86,79,81,54,72,66
20242887,学生2887,83,66,82,69,77,63
20242888,学生2888,88,43,86,90,63,100
20242889,学生2889,85,92,50,53,44,97
20242890,学生2890,65,40,68,78,85,55
20242891,学生2891,81,65,58,99,47,58
20242892,学生2892,72,45,43,92,69,42
20242893,学生2893,41,48,87,89,96,66
20242894,学生2894,87,56,84,43,98,62
20242895,学生2895,45,52,98,43,55,55
20242896,学生2896,61,67,97,89,75,44
20242897,学生2897,42,78,91,86,64,43
20242898,学生2898,80,51,78,59,42,66
20242899,学生2899,85,40,85,82,95,81
20242900,学生2900,74,65,47,98,71,93
20242901,学生2901,53,45,68,62,49,65
20242902,学生2902,69,77,74,62,77,40
20242903,学生2903,92,78,53,70,56,58
20242904,学生2904,77,69,95,66,95,80
20242905,学生2905,43,46,71,52,75,86
20242906,学生2906,55,87,64,94,93,82
20242907,学生2907,52,76,73,62,43,96
20242908,学生2908,60,76,79,50,43,45
20242909,学生2909,46,43,51,82,57,79
20242910,学生2910,91,81,58,83,58,77
20242911,学生2911,93,94,68,50,40,65
20242912,学生2912,58,45,62,65,72,55
20242913,学生2913,85,40,87,89,41,41
20242914,学生2914,54,49,54,78,94,45
20242915,学生2915,50,100,66,92,84,79
20242916,学生2916,42,57,100,53,74,41
20242917,学生2917,75,56,78,80,84,46
20242918,学生2918,46,93,75,78,45,83
20242919,学生2919,96,43,80,59,87,62
20242920,学生2920,70,70,72,81,75,82
20242921,学生2921,59,63,80,83,98,63
20242922,学生2922,62,45,46,98,67,44
20242923,学生2923,49,87,40,80,43,44
20242924,学生2924,78,92,76,66,90,41
20242925,学生2925,82,66,54,47,81,75
20242926,学生2926,99,72,54,70,42,57
20242927,学生2927,57,64,96,55,60,73
20242928,学生2928,74,47,41,49,94,67
20242929,学生2929,89,72,72,56,58,94
20242930,学生2930,73,63,85,75,54,82
20242931,学生2931,90,41,63,74,52,52
20242932,学生2932,76,99,70,57,61,50
20242933,学生2933,53,48,95,47,63,72
20242934,学生2934,86,71,59,97,81,45
20242935,学生2935,76,92,41,65,64,64
20242936,学生2936,80,63,61,57,98,72
20242937,学生2937,56,58,86,56,67,84
20242938,学生2938,43,84,47,87,92,69
20242939,学生2939,68,99,68,49,91,98
20242940,学生2940,63,83,62,62,99,57
20242941,学生2941,88,94,40,75,53,67
20242942,学生2942,71,45,78,86,84,72
20242943,学生2943,54,58,89,71,85,52
20242944,学生2944,63,58,40,82,96,65
20242945,学生2945,65,56,87,75,64,95
20242946,学生2946,78,45,53,88,91,49
20242947,学生2947,87,44,71,54,81,91
20242948,学生2948,43,60,90,47,46,67
20242949,学生2949,74,48,46,61,46,45
20242950,学生2950,49,100,100,76,76,40
20242951,学生2951,74,71,79,55,93,85
20242952,学生2952,74,41,42,56,88,77
20242953,学生2953,96,73,85,47,74,53
20242954,学生2954,74,51,42,89,86,60
20242955,学生2955,58,59,40,89,57,43
20242956,学生2956,99,79,92,42,90,49
20242957,学生2957,71,99,56,88,43,45
20242958,学生2958,92,56,92,58,98,77
20242959,学生2959,72,96,63,95,88,87
20242960,学生2960,52,72,63,48,83,40
20242961,学生2961,68,57,69,73,54,72
20242962,学生2962,53,63,57,49,86,59
20242963,学生2963,98,91,49,51,82,85
20242964,学生2964,83,79,98,77,61,48
20242965,学生2965,72,89,89,80,53,67
20242966,学生2966,62,62,44,75,57,49
20242967,学生2967,46,91,68,56,82,80
20242968,学生2968,50,75,90,94,48,87
20242969,学生2969,74,65,51,94,74,80
20242970,学生2970,87,90,73,76,49,53
20242971,学生2971,62,59,100,46,62,89
20242972,学生2972,41,79,86,47,85,55
20242973,学生2973,96,74,100,93,99,83
20242974,学生2974,47,55,98,44,70,95
20242975,学生2975,62,73,46,46,67,88
20242976,学生2976,81,92,71,92,84,91
20242977,学生2977,96,81,74,75,87,54
20242978,学生2978,74,71,96,63,73,55
20242979,学生2979,80,74,95,48,44,95
20242980,学生2980,66,96,85,61,85,56
20242981,学生2981,77,83,59,41,79,47
20242982,学生2982,96,52,43,55,98,81
20242983,学生2983,68,67,42,84,81,72
20242984,学生2984,97,85,62,43,89,50
20242985,学生2985,84,68,82,71,91,64
20242986,学生2986,56,68,63,90,75,61
20242987,学生2987,71,83,45,47,80,94
20242988,学生2988,42,50,97,98,64,76
20242989,学生2989,73,98,82,89,74,63
20242990,学生2990,85,90,77,64,84,45
20242991,学生2991,78,76,44,84,82,89
20242992,学生2992,93,64,73,95,45,84
20242993,学生2993,51,78,99,65,44,47
20242994,学生2994,100,52,94,65,41,78
20242995,学生2995,79,91,79,60,60,79
20242996,学生2996,62,65,49,55,57,61
20242997,学生2997,87,84,51,77,51,48
20242998,学生2998,70,54,48,88,43,45
20242999,学生2999,63,55,42,44,44,54
20243000,学生3000,62,86,60,40,82,67
20243001,学生3001,95,54,62,64,98,48
20243002,学生3002,55,81,61,46,46,43
20243003,学生3003,78,92,68,98,73,68
20243004,学生3004,81,93,63,84,81,68
20243005,学生3005,76,56,76,78,76,82
20243006,学生3006,58,74,70,70,41,61
20243007,学生3007,82,87,66,71,91,58
20243008,学生3008,93,56,64,90,95,82
20243009,学生3009,76,66,77,100,69,96
20243010,学生3010,93,99,71,94,45,60
20243011,学生3011,72,73,40,84,78,59
20243012,学生3012,97,72,47,100,59,44
20243013,学生3013,65,80,69,88,58,96
20243014,学生3014,62,91,64,69,53,62
20243015,学生3015,69,74,69,99,55,60
20243016,学生3016,69,96,66,94,84,92
20243017,学生3017,76,72,80,43,98,67
20243018,学生3018,94,45,92,66,90,86
20243019,学生3019,77,93,55,88,66,99
20243020,学生3020,85,73,88,74,80,85
20243021,学生3021,97,93,97,80,73,96
20243022,学生3022,95,63,81,79,87,65
20243023,学生3023,44,72,100,63,51,51
20243024,学生3024,74,65,49,71,80,69
20243025,学生3025,79,61,51,86,76,81
20243026,学生3026,96,77,65,77,50,51
20243027,学生3027,76,77,80,85,51,97
20243028,学生3028,77,90,59,47,80,43
20243029,学生3029,53,88,44,49,48,57
20243030,学生3030,77,52,86,78,44,64
20243031,学生3031,69,60,90,47,49,44
20243032,学生3032,49,59,90,47,93,97
20243033,学生3033,99,62,73,62,71,75
20243034,学生3034,46,51,67,61,62,50
20243035,学生3035,49,47,51,94,98,95
20243036,学生3036,47,50,56,94,42,55
20243037,学生3037,82,100,66,97,81,89
20243038,学生3038,45,64,47,54,90,52
20243039,学生3039,43,96,49,88,60,81
20243040,学生3040,94,91,78,81,41,84
20243041,学生3041,86,83,79,79,45,99
20243042,学生3042,79,94,69,93,90,76
20243043,学生3043,59,52,76,87,97,59
20243044,学生3044,97,42,54,74,56,85
20243045,学生3045,84,73,84,42,49,77
20243046,学生3046,65,43,78,74,100,88
20243047,学生3047,68,51,77,52,43,53
20243048,学生3048,40,76,92,70,43,54
20243049,学生3049,78,57,94,77,67,67
20243050,学生3050,95,97,49,42,76,62
20243051,学生3051,79,91,89,44,58,77
20243052,学生3052,70,44,74,65,93,62
20243053,学生3053,65,73,42,68,81,59
20243054,学生3054,62,89,88,45,88,46
20243055,学生3055,52,90,98,81,79,84
20243056,学生3056,94,45,93,41,69,69
20243057,学生3057,59,45,58,97,69,57
20243058,学生3058,89,65,99,44,87,49
20243059,学生3059,98,85,91,61,69,83
20243060,学生3060,51,54,97,40,85,91
20243061,学生3061,58,70,84,62,94,86
20243062,学生3062,84,49,88,64,76,89
20243063,学生3063,51,52,64,43,81,78
20243064,学生3064,94,52,66,73,56,87
20243065,学生3065,92,47,75,66,86,42
20243066,学生3066,63,53,79,86,56,52
20243067,学生3067,90,97,77,46,86,43
20243068,学生3068,41,56,62,57,52,68
20243069,学生3069,78,96,57,56,50,94
20243070,学生3070,63,89,73,56,75,54
20243071,学生3071,98,53,41,82,95,94
20243072,学生3072,65,56,89,80,75,89
20243073,学生3073,69,81,88,41,73,73
20243074,学生3074,81,54,79,44,65,58
20243075,学生3075,73,90,60,42,94,71
20243076,学生3076,45,91,71,90,64,82
20243077,学生3077,57,43,55,81,72,47
20243078,学生3078,99,50,84,92,76,84
20243079,学生3079,97,41,76,87,98,90
20243080,学生3080,42,43,97,100,51,100
20243081,学生3081,60,58,40,72,58,62
20243082,学生3082,87,40,71,49,52,92
20243083,学生3083,41,52,69,78,82,43
20243084,学生3084,78,72,62,66,66,77
20243085,学生3085,53,63,51,53,82,94
20243086,学生3086,61,99,45,52,75,91
20243087,学生3087,80,90,57,51,60,49
20243088,学生3088,81,53,99,61,70,46
20243089,学生3089,67,71,56,74,92,59
20243090,学生3090,51,91,77,43,47,85
20243091,学生3091,76,80,86,62,67,63
20243092,学生3092,67,76,75,59,63,83
20243093,学生3093,85,42,43,80,50,81
20243094,学生3094,69,50,81,56,72,40
20243095,学生3095,76,59,48,54,52,63
20243096,学生3096,97,79,40,72,99,79
20243097,学生3097,82,53,49,53,89,86
20243098,学生3098,60,41,43,69,51,64
20243099,学生3099,43,52,45,50,79,82
20243100,学生3100,80,97,51,57,79,68
20243101,学生3101,76,60,68,48,52,60
20243102,学生3102,77,95,52,96,80,75
20243103,学生3103,60,89,41,56,43,92
20243104,学生3104,54,48,80,91,43,52
20243105,学生3105,41,41,41,57,94,90
20243106,学生3106,41,60,84,55,76,91
20243107,学生3107,75,70,52,84,74,63
20243108,学生3108,46,92,64,52,57,63
20243109,学生3109,50,83,59,54,84,70
20243110,学生3110,78,60,62,71,47,95
20243111,学生3111,86,89,90,84,69,89
20243112,学生3112,93,57,98,48,76,84
20243113,学生3113,77,44,57,60,71,43
20243114,学生3114,50,89,53,97,68,93
20243115,学生3115,41,68,40,93,51,88
20243116,学生3116,84,55,83,63,64,52
20243117,学生3117,75,100,80,50,45,87
20243118,学生3118,79,84,100,43,100,73
20243119,学生3119,78,67,90,100,87,66
20243120,学生3120,96,49,40,56,56,86
20243121,学生3121,51,86,67,94,70,52
20243122,学生3122,40,92,51,74,95,41
20243123,学生3123,77,72,96,66,48,50
20243124,学生3124,79,65,95,82,52,94
20243125,学生3125,98,81,48,61,62,51
20243126,学生3126,52,83,81,92,56,64
20243127,学生3127,44,60,80,93,83,42
20243128,学生3128,60,68,62,95,71,55
20243129,学生3129,59,43,43,87,42,44
20243130,学生3130,50,85,49,92,65,54
20243131,学生3131,45,95,61,94,74,52
20243132,学生3132,53,69,65,72,73,46
20243133,学生3133,51,86,78,76,41,60
20243134,学生3134,69,43,94,60,72,61
20243135,学生3135,68,56,100,79,92,45
20243136,学生3136,84,56,46,94,98,77
20243137,学生3137,100,98,62,50,73,61
20243138,学生3138,79,54,71,76,55,62
20243139,学生3139,85,42,89,71,46,59
20243140,学生3140,55,82,84,62,67,60
20243141,学生3141,77,48,88,100,42,88
20243142,学生3142,76,79,60,49,45,96
20243143,学生3143,44,93,57,77,56,48
20243144,学生3144,79,93,76,94,70,64
20243145,学生3145,46,77,76,83,81,59
20243146,学生3146,99,53,83,60,69,93
20243147,学生3147,83,59,56,100,99,43
20243148,学生3148,54,47,57,86,57,59
20243149,学生3149,51,68,68,41,76,97
20243150,学生3150,75,70,49,93,71,86
20243151,学生3151,71,70,62,45,74,65
20243152,学生3152,64,66,40,80,60,71
20243153,学生3153,80,59,63,72,59,93
20243154,学生3154,43,91,66,84,44,69
20243155,学生3155,100,43,85,80,99,86
20243156,学生3156,56,85,46,80,55,94
20243157,学生3157,98,63,58,56,41,55
20243158,学生3158,62,67,49,84,63,41
20243159,学生3159,89,98,56,71,58,80
20243160,学生3160,77,79,92,56,66,45
20243161,学生3161,53,92,65,55,67,81
20243162,学生3162,51,90,56,86,77,57
20243163,学生3163,67,81,73,86,81,68
20243164,学生3164,58,51,66,60,94,68
20243165,学生3165,42,56,99,47,69,77
20243166,学生3166,62,95,78,67,40,51
20243167,学生3167,54,62,89,73,51,86
20243168,学生3168,80,45,94,82,77,83
20243169,学生3169,89,90,81,84,74,41
20243170,学生3170,84,65,70,89,54,40
20243171,学生3171,67,91,47,80,60,48
20243172,学生3172,90,82,69,96,53,99
20243173,学生3173,53,62,72,87,60,100
20243174,学生3174,57,88,74,41,67,69
20243175,学生3175,91,82,51,75,69,54
20243176,学生3176,60,94,79,40,95,64
20243177,学生3177,52,94,69,58,74,54
20243178,学生3178,43,49,51,49,62,59
20243179,学生3179,76,76,63,40,46,55
20243180,学生3180,93,66,42,84,44,89
20243181,学生3181,56,45,77,71,92,83
20243182,学生3182,68,56,77,67,73,90
20243183,学生3183,85,88,49,42,73,96
20243184,学生3184,97,82,55,58,54,86
20243185,学生3185,80,72,59,51,59,93
20243186,学生3186,74,75,60,44,90,60
